x,y
0.00000,0.01865
309.00000,0.02376
321.00000,0.02647
334.00000,0.03096
350.00000,0.03155
370.00000,0.03768
393.00000,0.04583
425.00000,0.04015
467.00000,0.04543
517.00000,0.03613
611.00000,0.02612
2247.00000,0.14286
