x,y
0.00000,0.04369
4739.00000,0.03288
4885.00000,0.03014
5068.00000,0.03026
5285.00000,0.02976
5541.00000,0.03059
5852.00000,0.03222
6245.00000,0.03244
6766.00000,0.02795
7484.00000,0.02337
8556.00000,0.02009
12790.00000,0.00000
